Test at 5/7/2015 5:15:10 PM,

Client Num: ,31, X_Received: ,1566, Y_Received: ,760,Time: ,2015-05-07 17:15:31.940
Client Num:, 31, X: ,-23, Y: ,629,Time: ,2015-05-07 17:15:32.040
Client Num: ,31, X_Received: ,637, Y_Received: ,433,Time: ,2015-05-07 17:15:32.040
Client Num:, 31, X: ,-25, Y: ,615,Time: ,2015-05-07 17:15:32.141
Client Num: ,31, X_Received: ,569, Y_Received: ,432,Time: ,2015-05-07 17:15:32.141
Client Num:, 31, X: ,-23, Y: ,602,Time: ,2015-05-07 17:15:32.241
Client Num: ,31, X_Received: ,198, Y_Received: ,497,Time: ,2015-05-07 17:15:32.241
Client Num:, 31, X: ,-19, Y: ,593,Time: ,2015-05-07 17:15:32.341
Client Num: ,31, X_Received: ,188, Y_Received: ,494,Time: ,2015-05-07 17:15:32.341
Client Num:, 31, X: ,-14, Y: ,586,Time: ,2015-05-07 17:15:32.441
Client Num: ,31, X_Received: ,130, Y_Received: ,537,Time: ,2015-05-07 17:15:32.441
Client Num:, 31, X: ,4, Y: ,583,Time: ,2015-05-07 17:15:32.540
Client Num: ,31, X_Received: ,75, Y_Received: ,605,Time: ,2015-05-07 17:15:32.540
Client Num:, 31, X: ,29, Y: ,583,Time: ,2015-05-07 17:15:32.640
Client Num: ,31, X_Received: ,68, Y_Received: ,616,Time: ,2015-05-07 17:15:32.640
Client Num:, 31, X: ,47, Y: ,591,Time: ,2015-05-07 17:15:32.740
Client Num: ,31, X_Received: ,71, Y_Received: ,647,Time: ,2015-05-07 17:15:32.740
Client Num:, 31, X: ,59, Y: ,607,Time: ,2015-05-07 17:15:32.840
Client Num: ,31, X_Received: ,71, Y_Received: ,647,Time: ,2015-05-07 17:15:32.840
Client Num:, 31, X: ,68, Y: ,622,Time: ,2015-05-07 17:15:32.942
Client Num: ,31, X_Received: ,38, Y_Received: ,600,Time: ,2015-05-07 17:15:32.942
Client Num:, 31, X: ,80, Y: ,635,Time: ,2015-05-07 17:15:33.046
Client Num: ,31, X_Received: ,46, Y_Received: ,575,Time: ,2015-05-07 17:15:33.046
Client Num:, 31, X: ,92, Y: ,637,Time: ,2015-05-07 17:15:33.140
Client Num: ,31, X_Received: ,58, Y_Received: ,585,Time: ,2015-05-07 17:15:33.140
Client Num:, 31, X: ,163, Y: ,49,Time: ,2015-05-07 17:15:33.240
Client Num: ,31, X_Received: ,76, Y_Received: ,595,Time: ,2015-05-07 17:15:33.240
Client Num:, 31, X: ,156, Y: ,39,Time: ,2015-05-07 17:15:33.341
Client Num: ,31, X_Received: ,88, Y_Received: ,603,Time: ,2015-05-07 17:15:33.341
Client Num:, 31, X: ,142, Y: ,34,Time: ,2015-05-07 17:15:33.444
Client Num: ,31, X_Received: ,130, Y_Received: ,416,Time: ,2015-05-07 17:15:33.444
Client Num:, 31, X: ,155, Y: ,32,Time: ,2015-05-07 17:15:33.542
Client Num: ,31, X_Received: ,220, Y_Received: ,110,Time: ,2015-05-07 17:15:33.542
Client Num:, 31, X: ,443, Y: ,8,Time: ,2015-05-07 17:15:33.639
Client Num: ,31, X_Received: ,222, Y_Received: ,121,Time: ,2015-05-07 17:15:33.639
Client Num:, 31, X: ,436, Y: ,11,Time: ,2015-05-07 17:15:33.741
Client Num: ,31, X_Received: ,225, Y_Received: ,126,Time: ,2015-05-07 17:15:33.741
Client Num:, 31, X: ,507, Y: ,15,Time: ,2015-05-07 17:15:33.840
Client Num: ,31, X_Received: ,224, Y_Received: ,128,Time: ,2015-05-07 17:15:33.840
Client Num:, 31, X: ,548, Y: ,22,Time: ,2015-05-07 17:15:33.942
Client Num: ,31, X_Received: ,238, Y_Received: ,116,Time: ,2015-05-07 17:15:33.942
Client Num:, 31, X: ,572, Y: ,23,Time: ,2015-05-07 17:15:34.041
Client Num: ,31, X_Received: ,291, Y_Received: ,110,Time: ,2015-05-07 17:15:34.041
Client Num:, 31, X: ,589, Y: ,27,Time: ,2015-05-07 17:15:34.140
Client Num: ,31, X_Received: ,315, Y_Received: ,107,Time: ,2015-05-07 17:15:34.140
Client Num:, 31, X: ,1012, Y: ,161,Time: ,2015-05-07 17:15:34.241
Client Num: ,31, X_Received: ,554, Y_Received: ,25,Time: ,2015-05-07 17:15:34.241
Client Num:, 31, X: ,1212, Y: ,218,Time: ,2015-05-07 17:15:34.339
Client Num: ,31, X_Received: ,550, Y_Received: ,38,Time: ,2015-05-07 17:15:34.339
Client Num:, 31, X: ,1212, Y: ,216,Time: ,2015-05-07 17:15:34.441
Client Num: ,31, X_Received: ,563, Y_Received: ,38,Time: ,2015-05-07 17:15:34.441
Client Num:, 31, X: ,717, Y: ,119,Time: ,2015-05-07 17:15:34.540
Client Num: ,31, X_Received: ,585, Y_Received: ,35,Time: ,2015-05-07 17:15:34.540
Client Num:, 31, X: ,250, Y: ,28,Time: ,2015-05-07 17:15:34.640
Client Num: ,31, X_Received: ,1200, Y_Received: ,183,Time: ,2015-05-07 17:15:34.640
Client Num:, 31, X: ,245, Y: ,25,Time: ,2015-05-07 17:15:34.740
Client Num: ,31, X_Received: ,1290, Y_Received: ,199,Time: ,2015-05-07 17:15:34.740
Client Num:, 31, X: ,239, Y: ,21,Time: ,2015-05-07 17:15:34.841
Client Num: ,31, X_Received: ,1289, Y_Received: ,196,Time: ,2015-05-07 17:15:34.841
Client Num:, 31, X: ,238, Y: ,18,Time: ,2015-05-07 17:15:34.939
Client Num: ,31, X_Received: ,1287, Y_Received: ,191,Time: ,2015-05-07 17:15:34.939
Client Num:, 31, X: ,565, Y: ,41,Time: ,2015-05-07 17:15:35.040
Client Num: ,31, X_Received: ,597, Y_Received: ,120,Time: ,2015-05-07 17:15:35.040
Client Num:, 31, X: ,560, Y: ,38,Time: ,2015-05-07 17:15:35.173
Client Num: ,31, X_Received: ,610, Y_Received: ,75,Time: ,2015-05-07 17:15:35.173
Client Num: ,31, X_Received: ,610, Y_Received: ,75,Time: ,2015-05-07 17:15:35.173
Client Num:, 31, X: ,557, Y: ,35,Time: ,2015-05-07 17:15:35.239
Client Num: ,31, X_Received: ,442, Y_Received: ,92,Time: ,2015-05-07 17:15:35.239
Client Num:, 31, X: ,295, Y: ,230,Time: ,2015-05-07 17:15:35.340
Client Num: ,31, X_Received: ,445, Y_Received: ,86,Time: ,2015-05-07 17:15:35.340
Client Num:, 31, X: ,1249, Y: ,19,Time: ,2015-05-07 17:15:35.440
Client Num: ,31, X_Received: ,466, Y_Received: ,84,Time: ,2015-05-07 17:15:35.440
Client Num:, 31, X: ,4269, Y: ,-959,Time: ,2015-05-07 17:15:35.805
Client Num: ,31, X_Received: ,527, Y_Received: ,82,Time: ,2015-05-07 17:15:35.805
Client Num:, 31, X: ,4102, Y: ,-919,Time: ,2015-05-07 17:15:35.906
Client Num: ,31, X_Received: ,536, Y_Received: ,85,Time: ,2015-05-07 17:15:35.906
Client Num:, 31, X: ,506, Y: ,165,Time: ,2015-05-07 17:15:36.004
Client Num: ,31, X_Received: ,1108, Y_Received: ,54,Time: ,2015-05-07 17:15:36.004
Client Num:, 31, X: ,145, Y: ,175,Time: ,2015-05-07 17:15:36.106
Client Num: ,31, X_Received: ,1085, Y_Received: ,55,Time: ,2015-05-07 17:15:36.106
Client Num:, 31, X: ,306, Y: ,257,Time: ,2015-05-07 17:15:36.206
Client Num: ,31, X_Received: ,1093, Y_Received: ,59,Time: ,2015-05-07 17:15:36.206
Client Num:, 31, X: ,401, Y: ,120,Time: ,2015-05-07 17:15:36.305
Client Num: ,31, X_Received: ,924, Y_Received: ,113,Time: ,2015-05-07 17:15:36.305
Client Num:, 31, X: ,723, Y: ,108,Time: ,2015-05-07 17:15:36.405
Client Num: ,31, X_Received: ,624, Y_Received: ,101,Time: ,2015-05-07 17:15:36.405
Client Num:, 31, X: ,978, Y: ,117,Time: ,2015-05-07 17:15:36.506
Client Num: ,31, X_Received: ,639, Y_Received: ,91,Time: ,2015-05-07 17:15:36.506
Client Num:, 31, X: ,965, Y: ,132,Time: ,2015-05-07 17:15:36.604
Client Num: ,31, X_Received: ,644, Y_Received: ,99,Time: ,2015-05-07 17:15:36.604
Client Num:, 31, X: ,430, Y: ,137,Time: ,2015-05-07 17:15:36.705
Client Num: ,31, X_Received: ,634, Y_Received: ,119,Time: ,2015-05-07 17:15:36.705
Client Num:, 31, X: ,411, Y: ,135,Time: ,2015-05-07 17:15:36.804
Client Num: ,31, X_Received: ,631, Y_Received: ,123,Time: ,2015-05-07 17:15:36.804
Client Num:, 31, X: ,398, Y: ,124,Time: ,2015-05-07 17:15:36.906
Client Num: ,31, X_Received: ,973, Y_Received: ,117,Time: ,2015-05-07 17:15:36.906
Client Num:, 31, X: ,487, Y: ,145,Time: ,2015-05-07 17:15:37.005
Client Num: ,31, X_Received: ,974, Y_Received: ,119,Time: ,2015-05-07 17:15:37.005
Client Num:, 31, X: ,1009, Y: ,243,Time: ,2015-05-07 17:15:37.104
